name,capital,region,population,flag,difficulty,population_distractors
Abkhazia,Sukhumi,Asia,244000,,hard,"['French Guiana', 'Mayotte', 'New Caledonia', 'São Tomé and Príncipe', 'French Polynesia']"
Afghanistan,Kabul,Asia,35000000,🇦🇫,easy,"['Ghana', 'Mozambique', 'Malaysia', 'Peru', 'Saudi Arabia']"
Albania,Tirana,Europe,2402113,🇦🇱,medium,"['Gabon', 'Gambia', 'Moldova', 'Botswana', 'Slovenia']"
Algeria,Algiers,Africa,47400000,🇩🇿,easy,"['Argentina', 'Iraq', 'Uganda', 'Spain', 'South Korea']"
American Samoa,Pago Pago,Oceania,43268,🇦🇸,hard,"['Liechtenstein', 'Northern Mariana Islands', 'Monaco', 'Saint Martin', 'British Virgin Islands']"
Andorra,Andorra la Vella,Europe,89368,🇦🇩,hard,"['Cayman Islands', 'United States Virgin Islands', 'Isle of Man', 'Tonga', 'Micronesia']"
Angola,Luanda,Africa,36604681,🇦🇴,easy,"['Morocco', 'Poland', 'Ghana', 'Afghanistan', 'Uzbekistan']"
Anguilla,The Valley,Americas,16010,🇦🇮,hard,"['Cook Islands', 'Palau', 'Nauru', 'Wallis and Futuna', 'Tuvalu']"
Antarctica,,Antarctic,1300,🇦🇶,hard,"['Tokelau', 'Niue', 'Christmas Island', 'Vatican City', 'British Indian Ocean Territory']"
Antigua and Barbuda,Saint John's,Americas,106365,🇦🇬,hard,"['Jersey', 'Aruba', 'Saint Vincent and the Grenadines', 'Tonga', 'Grenada']"
Argentina,Buenos Aires,Americas,46735004,🇦🇷,easy,"['Iraq', 'Algeria', 'Uganda', 'Spain', 'South Korea']"
Armenia,Yerevan,Asia,3100100,🇦🇲,medium,"['Namibia', 'Puerto Rico', 'Qatar', 'Lithuania', 'Jamaica']"
Aruba,Oranjestad,Americas,108880,🇦🇼,hard,"['Saint Vincent and the Grenadines', 'Antigua and Barbuda', 'Jersey', 'Grenada', 'Tonga']"
Australia,Canberra,Oceania,27724744,🇦🇺,easy,"['Niger', 'Syria', 'North Korea', 'Mali', 'Cameroon']"
Austria,Vienna,Europe,9219113,🇦🇹,medium,"['Switzerland', 'Belarus', 'Hungary', 'Honduras', 'Togo']"
Azerbaijan,Baku,Asia,10353296,🇦🇿,medium,"['Israel', 'Sweden', 'Greece', 'Tajikistan', 'Czechia']"
Bahamas,Nassau,Americas,398165,🇧🇸,hard,"['Belize', 'Guadeloupe', 'Iceland', 'Northern Cyprus', 'Martinique']"
Bahrain,Manama,Asia,1501635,🇧🇭,medium,"['Trinidad and Tobago', 'Timor-Leste', 'Kosovo', 'Estonia', 'Eswatini']"
Bangladesh,Dhaka,Asia,175423000,🇧🇩,easy,"['Russia', 'Ethiopia', 'Brazil', 'Mexico', 'DRC']"
Barbados,Bridgetown,Americas,281998,🇧🇧,hard,"['French Polynesia', 'New Caledonia', 'French Guiana', 'Abkhazia', 'Vanuatu']"
Belarus,Minsk,Europe,9109280,🇧🇾,medium,"['Switzerland', 'Austria', 'Hungary', 'Honduras', 'Togo']"
Belgium,Brussels,Europe,11867634,🇧🇪,easy,"['Papua New Guinea', 'Tunisia', 'Dominican Republic', 'Jordan', 'Haiti']"
Belize,Belmopan,Americas,397483,🇧🇿,hard,"['Bahamas', 'Guadeloupe', 'Iceland', 'Northern Cyprus', 'Martinique']"
Benin,Porto-Novo,Africa,13754688,🇧🇯,easy,"['Rwanda', 'Burundi', 'South Sudan', 'Tunisia', 'Belgium']"
Bermuda,Hamilton,Americas,63913,🇧🇲,hard,"['Guernsey', 'Sint Maarten', 'Greenland', 'Dominica', 'South Ossetia']"
Bhutan,Thimphu,Asia,727145,🇧🇹,medium,"['Macau', 'Luxembourg', 'Suriname', 'Solomon Islands', 'Montenegro']"
Bolivia,Sucre,Americas,11365333,🇧🇴,easy,"['Portugal', 'Haiti', 'Jordan', 'Dominican Republic', 'United Arab Emirates']"
Bosnia and Herzegovina,Sarajevo,Europe,3412000,🇧🇦,medium,"['Uruguay', 'Eritrea', 'Mongolia', 'Qatar', 'Puerto Rico']"
Botswana,Gaborone,Africa,2359609,🇧🇼,medium,"['Moldova', 'Gabon', 'Albania', 'Gambia', 'Slovenia']"
Bouvet Island,,Antarctic,0,🇧🇻,hard,"['Heard Island and McDonald Islands', 'South Georgia', 'Pitcairn Islands', 'United States Minor Outlying Islands', 'French Southern and Antarctic Lands']"
Brazil,Brasília,Americas,213421037,🇧🇷,easy,"['Pakistan', 'Nigeria', 'Bangladesh', 'Russia', 'Ethiopia']"
British Indian Ocean Territory,Diego Garcia,Africa,2000,🇮🇴,hard,"['Norfolk Island', 'Christmas Island', 'Niue', 'Svalbard and Jan Mayen', 'Tokelau']"
British Virgin Islands,Road Town,Americas,38322,🇻🇬,hard,"['Saint Martin', 'Gibraltar', 'Monaco', 'Marshall Islands', 'Liechtenstein']"
Brunei,Bandar Seri Begawan,Asia,458600,🇧🇳,hard,"['Cabo Verde', 'Western Sahara', 'Guadeloupe', 'Bahamas', 'Malta']"
Bulgaria,Sofia,Europe,6423207,🇧🇬,medium,"['Paraguay', 'Serbia', 'Congo', 'Somaliland', 'Nicaragua']"
Burkina Faso,Ouagadougou,Africa,22489126,🇧🇫,easy,"['Sri Lanka', 'Taiwan', 'Malawi', 'Kazakhstan', 'Zambia']"
Burundi,Gitega,Africa,14151540,🇧🇮,easy,"['Rwanda', 'Benin', 'South Sudan', 'Tunisia', 'Belgium']"
Cabo Verde,Praia,Africa,491233,🇨🇻,hard,"['Western Sahara', 'Malta', 'Brunei', 'Guadeloupe', 'Bahamas']"
Cambodia,Phnom Penh,Asia,17638801,🇰🇭,easy,"['Guinea', 'Ecuador', 'Netherlands', 'Zimbabwe', 'Guatemala']"
Cameroon,Yaoundé,Africa,30987821,🇨🇲,easy,"['Nepal', 'Ivory Coast', 'Venezuela', 'Madagascar', 'Ukraine']"
Canada,Ottawa,Americas,41575585,🇨🇦,easy,"['Uzbekistan', 'Poland', 'Uganda', 'Iraq', 'Morocco']"
Caribbean Netherlands,Kralendijk,Americas,31980,🇧🇶,hard,"['Åland Islands', 'San Marino', 'Marshall Islands', 'Gibraltar', 'British Virgin Islands']"
Cayman Islands,George Town,Americas,90577,🇰🇾,hard,"['Andorra', 'United States Virgin Islands', 'Isle of Man', 'Tonga', 'Jersey']"
